,医药生物,电子,银行,食品饮料,计算机,房地产,传媒,家用电器,电气设备,汽车
2019-09-10,42200.741218,37476.709207,69620.546947,37858.348322,22569.048766,21173.048344,16608.209857,12317.26932,16962.934857,16563.550796
2019-09-11,41519.678299,37236.388468,70166.108025,36416.768899,22225.657148,21117.013704,16521.816402,12220.437272,16882.44323,16530.46971
2019-09-12,41621.957405,37292.295923,70422.664729,37031.756872,22389.202096,21529.049402,16582.515265,12368.530981,17016.035806,16611.966732
2019-09-16,41732.995189,37661.335238,70148.943974,36953.044587,22663.964883,21432.97845,16670.54573,12303.571587,17006.445993,16650.666071
2019-09-17,41132.663927,36843.466473,69572.759723,36727.79158,22150.559208,21080.071699,16294.928735,12082.559321,16567.649408,16280.250899
2019-09-18,41488.064394,37054.738065,69540.835417,38028.221354,21990.638559,21264.634763,16372.09889,12160.063159,16539.167339,16278.643608
2019-09-19,41796.423325,37948.656035,69638.962278,37921.214945,22373.771329,21246.293572,16449.48369,12236.931943,16682.713724,16410.713487
2019-09-20,42094.067032,38311.93902,69899.803241,38213.712628,22410.277231,21227.753743,16403.071528,12205.645027,16741.397518,16411.758301
2019-09-23,41464.804287,38650.247173,69307.218395,37767.91996,22366.61139,20877.17128,16332.306736,12108.647792,16616.104254,16278.246985
2019-09-24,41897.769947,38943.022832,69303.600986,38474.796307,22557.836781,20862.474734,16438.06745,12117.827416,16763.718735,16320.851393
2019-09-25,41413.798308,37462.127505,69461.502607,38319.921307,22071.655241,20694.931531,16105.094553,11953.434808,16459.480703,16013.774554
2019-09-26,40691.979919,36130.541128,70373.058458,37919.942218,21116.495588,20587.30803,15741.283803,11878.838377,16066.434392,15735.888662
2019-09-27,40843.301034,37051.647791,70356.092786,37953.018466,21355.15497,20642.683728,15910.545266,11863.712348,16210.678397,15791.392793
2019-09-30,40638.046242,35904.634619,69741.189369,37446.186484,21052.690027,20560.902829,15668.083431,11814.889355,16044.426108,15713.636827
2019-10-08,40886.119395,35468.821731,70444.289175,37765.378562,20839.021675,20942.685344,15465.158367,12016.042843,16065.128432,15648.992463
2019-10-09,40770.353236,35667.766817,71081.660044,37449.450065,21063.893157,21313.797869,15535.659856,11956.952959,16201.378464,15677.885458
2019-10-10,41936.604798,36373.962269,71025.438998,37675.742808,21563.22452,21363.282862,15713.959268,12041.082231,16404.41296,15883.374851
2019-10-11,42062.217091,36346.064816,72255.290219,37938.566689,21561.608085,21502.393334,15822.767757,12147.051435,16337.093725,15928.625386
2019-10-14,42395.907462,37200.870771,73550.920768,38095.771573,22026.796535,21728.871447,16194.649119,12263.958479,16539.436237,16257.72301
2019-10-15,42292.05296,36312.022499,73679.174149,38650.279544,21384.054839,21605.087709,15985.337298,12244.496482,16330.473665,16048.692866
2019-10-16,42411.271311,36071.561437,73471.460057,37900.363778,21451.094956,21729.602133,15992.992938,12281.218264,16084.243266,15973.58635
2019-10-17,42453.971087,36306.398673,73337.65373,38065.389074,21496.909656,21606.83783,16118.142557,12190.421325,16005.834226,15959.729432
2019-10-18,42260.046115,35580.796611,72434.572518,37690.823863,21144.073417,21231.130609,15968.751154,12082.882648,15773.033278,15745.002647
2019-10-21,41650.504367,35565.119721,73394.880979,37594.779281,21047.948961,21538.766433,15836.632422,12184.257621,15702.501972,15618.547695
2019-10-22,42221.332642,36304.705153,73292.347646,37808.480783,21565.013841,21600.716994,15962.019623,12309.774489,15860.502982,15887.939024
2019-10-23,41582.340206,36294.60803,73497.58879,37375.41992,21334.108708,21338.764835,16025.458096,12252.141357,15807.866226,15800.128314
2019-10-24,41272.746257,36262.91616,74217.444682,36860.499013,21240.659801,21450.401734,16050.560219,12193.944855,15814.748964,15809.206872
2019-10-25,41744.834053,36840.073665,74241.181473,37513.590233,21381.599151,21580.78765,16161.973856,12166.869929,15894.789224,15929.704519
2019-10-28,42303.436921,37491.03857,73779.707439,37948.40155,22645.138843,21515.895438,16632.035835,12202.164271,16121.346753,16148.78542
2019-10-29,42357.786071,36730.369025,73491.145076,38412.44681,21963.303068,21326.25489,16427.835228,12330.62988,15884.613697,15986.925966
2019-10-30,41998.97276,36856.890785,73379.477086,38177.042612,21591.174377,21141.468753,16266.933216,12207.518455,15723.776125,15809.973274
2019-10-31,42219.726603,36327.641942,73079.468226,38265.325205,21197.368143,21003.642574,16134.996503,12380.122107,15616.506138,15708.220004
2019-11-01,42736.556424,36771.036289,74142.304132,38579.31229,21397.595594,21334.196111,16264.393667,13138.741645,15725.519826,15969.773542
2019-11-04,43362.568644,37619.485995,74277.764011,38903.656273,21628.023884,21309.500162,16227.055738,13234.135659,15760.999267,16017.186336
2019-11-05,43402.895606,38150.072226,75611.95816,39066.850194,21749.860007,21381.887592,16248.102262,13281.295693,15914.867018,16050.458332
2019-11-06,43112.523213,37856.510228,75916.935049,38731.349973,21426.951588,21186.04615,16026.35017,13254.962151,15893.26758,15975.429286
